VM Type,VM Size,compiler,compress,crypto,derby,mpegaudio,scimark large,scimark small,serial,startup,sunflow,xml,Overall
c4,large,156.55, 68.66, 70.71,136.17, 49.26,28.46,106.12, 55.38,25.41, 28.05,179.60, 66.31
c4,xlarge,311.31,136.74,143.20,261.17, 99.63,54.34,211.10,109.67,30.65, 55.99,357.84,125.58
c4,2xlarge,556.12,276.84,287.60,504.95,198.13,82.04,410.20,211.22,32.95,112.61,717.18,227.19
m4,large,138.10, 59.97, 59.49,117.59, 41.31,26.21, 89.82, 47.44,21.91, 23.80,153.39, 57.18
m4,xlarge,270.11,118.08,119.11,224.29, 83.69,48.03,182.14, 92.81,26.18, 47.56,303.43,107.35
m4,2xlarge,521.63,238.94,237.17,437.86,167.46,75.07,354.09,180.74,27.93, 94.90,608.58,196.38
t2,micro, 81.40, 47.04, 39.14, 15.49,  3.59, 2.18,  6.92,  5.27,19.78,  2.11, 13.47, 11.08
t2,small, 74.45, 47.49, 48.64, 37.44,  6.99, 4.23, 13.84,  8.49,19.20,  4.12, 25.04, 17.38
t2,medium,209.83, 93.90,104.25, 87.84, 13.34, 8.19, 27.74, 15.64,25.48,  8.25, 49.00, 34.67
t2,large,228.43, 93.14,110.68,179.16, 39.32,12.29, 41.03, 27.56,26.30, 12.10, 85.51, 51.13
