,Basic_A1,Basic_A2,Basic_A3,Basic_A4,Standard_D1,Standard_D2,Standard_D3,Standard_D4,Standard_D11,Standard_D12,Standard_D13
cores,1.00,2.00,4.00,8.00,1.00,2.00,4.00,8.00,2.00,4.00,8.00
memory (GB),1.75,3.50,7.00,14.00,3.50,7.00,14.00,28.00,14.00,28.00,56.00
compiler,21.31,63.94,124.56,221.47,57.87,155.67,306.36,549.86,155.80,311.39,546.31
compress,13.04,28.92,58.81,120.44,34.34,68.32,135.30,271.01,66.46,136.41,257.19
crypto,15.14,31.54,64.79,129.10,76.45,77.09,150.47,290.43,76.45,152.10,300.84
derby,25.91,50.68,89.29,160.09,112.30,116.67,170.25,414.07,112.30,206.59,348.70
mpegaudio,9.90,20.54,40.65,80.66,48.60,50.42,97.57,188.92,48.60,97.93,195.95
scimark.large,5.78,10.48,17.63,30.99,15.93,27.99,45.50,71.54,98.53,198.56,381.48
scimark.small,18.17,39.07,76.65,157.95,48.00,97.38,199.49,397.99,28.23,46.41,68.33
serial,11.50,24.50,47.19,87.67,29.45,58.66,109.30,209.18,56.71,112.14,207.22
startup,5.47,7.44,8.13,8.04,14.11,18.05,19.53,19.12,17.05,19.55,19.81
sunflow,5.63,11.51,22.55,43.63,14.61,28.09,57.11,112.64,28.02,56.97,115.25
xml,37.68,78.68,153.26,279.23,95.51,186.13,353.39,679.45,180.59,356.60,703.06
geometric mean,12.80,26.24,47.89,85.66,33.08,63.89,112.94,206.53,62.64,116.38,202.97
w/o startup,13.93,29.76,57.18,108.57,36.03,72.50,134.62,262.03,71.36,139.11,256.15
variance,0.44,0.39,1.80,11.59,1.94,10.86,28.01,26.96,9.40,19.98,151.76
standard deviation,0.59,0.63,1.34,3.40,1.39,3.30,5.29,5.19,3.07,4.47,12.32
cost/hour,$0.044,$0.088,$0.176,$0.352,$0.077,$0.154,$0.308,$0.616,$0.195,$0.390,$0.780
